vessel_no,FreqUse,TripType,SourceWater,RiskyWater,MaxVol,EmptyDepart,EmptyArrival,FreqDischarge,vessel_type,comm_activity,name,home,location,sum_score,hazard_score,Length,Speed,storage,steam_fine,steam_rough,active_fine,active_rough,mean_rate,max_rate
1,3,2,4,4,4,4,1,2,Commercial,Marine construction,Pelorus,Port Nelson,Nelson/Picton,22,3072,16.5,7.5,In water,0.5,0.5,0.5,0.5,0.5,0.5
2,3,1,0,1,3,1,1,0,Commercial,Charter services,Rasada,Z Pier,Auckland,9,0,16,10,In water,0,0,0,0,0,0
3,3,1,1,2,3,1,1,0,Commercial,Charter services,Cobalt,Z Pier,Auckland,10,0,15,12,In water,0,0,0,0,0,0
4,3,1,0,1,3,1,2,4,Commercial,Charter services,Majuro,Z Pier,Auckland,11,0,13,12,In water,0,0,0,0,0,0
5,3,1,0,1,1,1,1,0,Commercial,Charter services,Dream On,Z Pier,Auckland,4,0,14,7,In water,0,0,0,0,0,0
6,1,1,3,3,3,1,3,3,Launch,NA ,Maria,Hobson Bay,Auckland,15,243,7,5,In water,0.083333333,0,0.083333333,0.083333333,0.0625,0.083333333
7,2,1,4,1,3,1,4,2,Trailer boat,NA ,Bottom Line,Z Pier,Auckland,14,192,6.5,10,On land,0.166666667,1,0.166666667,0.5,0.458333333,1
8,2,1,4,1,4,1,4,3,Trailer boat,NA ,Ready Steady Crew,Z Pier,Auckland,15,384,6.8,8,On land,0.166666667,0,0.166666667,0.5,0.208333333,0.5
9,1,1,3,1,3,1,4,2,Trailer boat,NA ,Jeronimo,Z Pier,Auckland,14,72,7,6,On land,0.25,0.5,0.166666667,0.5,0.354166667,0.5
10,2,1,2,1,2,1,4,4,Trailer boat,NA ,Time Out,Z Pier,Auckland,12,128,6.3,5,On land,0,0,0,0,0,0
11,2,3,2,2,3,2,2,3,Yacht,NA ,Charlotte,Westhaven marina,Auckland,14,864,12.2,6,In water,0.041666667,0.083333333,0.041666667,0.083333333,0.0625,0.083333333
12,2,1,3,2,3,1,2,3,Trailer boat,NA ,Banshee,Z Pier,Auckland,13,216,6,18,On land,0,0.25,0.166666667,0.166666667,0.145833333,0.25
13,1,1,1,4,3,4,1,0,Yacht,NA ,Iron Lady,Bayswater marina,Auckland,15,0,9.7,6,In water,0,0,0,0,0,0
14,1,2,1,1,3,1,2,3,Launch,NA ,Jasmine,Bayswater marina,Auckland,11,36,12.8,22,In water,0.125,0.125,0.125,0.125,0.125,0.125
15,2,2,0,1,2,1,1,0,Yacht,NA ,Largesse,Bayswater marina,Auckland,8,0,9.5,7,In water,0,0,0,0,0,0
16,1,3,0,1,1,1,1,0,Yacht,NA ,Kiba Darshan,Bayswater marina,Auckland,5,0,11.6,6,In water,0,0,0,0,0,0
17,2,2,1,1,4,3,1,0,Launch,NA ,Rosemary,Bayswater marina,Auckland,13,0,12.2,18,In water,0,0,0,0,0,0
18,1,2,2,2,2,1,4,3,Yacht,NA ,Blue Raven,Bayswater marina,Auckland,14,192,8.2,5,In water,0.083333333,0.166666667,0.083333333,0.166666667,0.125,0.166666667
19,2,1,1,1,3,2,3,3,Launch,NA ,Catherine J,Bayswater marina,Auckland,12,108,8.5,6,In water,0.041666667,0.083333333,0.041666667,0.083333333,0.0625,0.083333333
20,2,3,0,1,1,2,1,0,Yacht,NA ,Mandala,Bayswater marina,Auckland,8,0,15,8,In water,0,0,0,0,0,0
21,2,3,0,1,3,1,1,0,Yacht,NA ,Kahika,Bayswater marina,Auckland,10,0,10,6.5,In water,0,0,0,0,0,0
22,2,2,4,1,3,1,2,3,Launch,NA ,Edelweiss,Bayswater marina,Auckland,13,288,12,20,In water,0,0,0.041666667,0.041666667,0.020833333,0.041666667
