vessel_no,FreqUse,TripType,SourceWater,RiskyWater,MaxVol,EmptyDepart,EmptyArrival,FreqDischarge,vessel_type,name,home,location,sum_score,hazard_score,Length,Speed,storage,steam_fine,steam_rough,active_fine,active_rough,mean_rate,max_rate,steam_rate,Speed_km,time,distance,dist_fine,dist_rough,time_fine,time_rough
11,2,3,2,2,3,2,2,3,Yacht,Charlotte,Westhaven marina,Auckland,14,864,12.2,6,In water,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.0625,0.08333333333333333,0.0625,11.112,16,177.792,266.688,133.344,24,12
13,1,1,1,4,3,4,1,0,Yacht,Iron Lady,Bayswater marina,Auckland,15,0,9.7,6,In water,0,0,0,0,0,0,0,11.112,Inf,Inf,Inf,Inf,Inf,Inf
15,2,2,0,1,2,1,1,0,Yacht,Largesse,Bayswater marina,Auckland,8,0,9.5,7,In water,0,0,0,0,0,0,0,12.964,Inf,Inf,Inf,Inf,Inf,Inf
16,1,3,0,1,1,1,1,0,Yacht,Kiba Darshan,Bayswater marina,Auckland,5,0,11.6,6,In water,0,0,0,0,0,0,0,11.112,Inf,Inf,Inf,Inf,Inf,Inf
18,1,2,2,2,2,1,4,3,Yacht,Blue Raven,Bayswater marina,Auckland,14,192,8.2,5,In water,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.125,0.16666666666666666,0.125,9.26,8,74.08,111.12,55.56,12,6
20,2,3,0,1,1,2,1,0,Yacht,Mandala,Bayswater marina,Auckland,8,0,15,8,In water,0,0,0,0,0,0,0,14.816,Inf,Inf,Inf,Inf,Inf,Inf
21,2,3,0,1,3,1,1,0,Yacht,Kahika,Bayswater marina,Auckland,10,0,10,6.5,In water,0,0,0,0,0,0,0,12.038,Inf,Inf,Inf,Inf,Inf,Inf
24,4,4,3,2,1,1,1,3,Yacht,BlueBelle,Bayswater marina,Auckland,16,288,14,6,In water,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,11.112,24,266.688,266.688,266.688,24,24
25,1,3,3,4,3,3,2,3,Yacht,Legal Tender,Bayswater marina,Auckland,19,1944,10.2,6,In water,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.1875,0.3333333333333333,0.25,11.112,4,44.448,66.672,33.336,6,3
26,4,4,0,1,3,1,1,0,Yacht,Sawage,Hobson Bay,Auckland,14,0,14.6,8,In water,0,0,0,0,0,0,0,14.816,Inf,Inf,Inf,Inf,Inf,Inf
34,2,2,2,2,2,2,1,3,Yacht,Mariposa,Bayswater marina,Auckland,12,192,8.5,5,In water,0,0.08333333333333333,0,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,9.26,24,222.24,Inf,111.12,Inf,12
35,3,2,0,1,3,1,1,0,Yacht,Wind Dancer,Bayswater marina,Auckland,11,0,9.3,6,In water,0,0,0,0,0,0,0,11.112,Inf,Inf,Inf,Inf,Inf,Inf
