Time,Pump,mean,sd,p_surv,p_surv_se,sp
0,Yes,30.555555555555557,17.213259316477412,0.38458811353092376,0.08447318137382968,dv
1,Yes,38.888888888888886,26.17604219864388,0.3785378305562122,0.08304203470644853,dv
2,Yes,34.72222222222222,18.571682944940868,0.372525113455879,0.08165965442229918,dv
6,Yes,40.27777777777778,24.95366075719523,0.34888137480855236,0.07665538808530183,dv
12,Yes,40.918803418803414,17.514982159392304,0.31479403335576783,0.07084856088719428,dv
24,Yes,26.388888888888886,8.193267335418124,0.2524698180989849,0.06497027795236607,dv
48,Yes,9.722222222222221,11.076334465209381,0.15435466218943486,0.06261554886800548,dv
72,Yes,8.11965811965812,10.349470972916524,0.08978922497456397,0.05556277385451095,dv
0,Yes,70,19.03943276465977,0.48943608288712454,0.0874870172091506,ciona
1,Yes,56.25,11.26388032606881,0.48517335563212616,0.08637026148469391,ciona
2,Yes,52.5,13.322912594474229,0.48091278448396263,0.08528880361499977,ciona
6,Yes,37.5,17.24818831066034,0.4639043940836807,0.08135745689686597,ciona
12,Yes,30.833333333333332,14.634434279010128,0.4385605356763177,0.07684802656333695,ciona
24,Yes,27.083333333333332,8.575643804791957,0.38894470913434454,0.0736529382025763,ciona
48,Yes,27.083333333333336,15.605821563335484,0.2970806436660773,0.08474052578437809,ciona
72,Yes,32.083333333333336,9.409658158863511,0.21913285539873953,0.09807037728927462,ciona
0,Yes,61.61884411884412,12.91250236270667,0.6870931474644564,0.1158282811152035,bugula
1,Yes,57.04237891737892,33.39779162216476,0.5452159875469713,0.11793987265549255,bugula
2,Yes,41.11111111111111,36.12734677754769,0.3955969258356573,0.1155404091688909,bugula
6,Yes,8.667929292929292,6.562828402149302,0.05495774101449419,0.05129278078742385,bugula
12,Yes,0,0,0.0015377523298153559,0.003156440299551102,bugula
24,Yes,0,0,1.0802107074373246e-6,4.636832106094007e-6,bugula
48,Yes,0,0,5.313948618684108e-13,4.681565597878894e-12,bugula
72,Yes,0,0,2.2204460492503126e-16,2.9612692879755792e-15,bugula
